1,-24.84235,-54.33345,livre
2,-24.84247,-54.33345,alugado
3,-24.84259,-54.33345,livre
4,-24.84271,-54.33345,livre
5,-24.84283,-54.33345,alugado
6,-24.84295,-54.33345,livre
7,-24.84307,-54.33345,livre
8,-24.84319,-54.33345,alugado
9,-24.84331,-54.33345,livre
10,-24.84343,-54.33345,livre
11,-24.84235,-54.33330,alugado
12,-24.84247,-54.33330,livre
13,-24.84259,-54.33330,livre
14,-24.84271,-54.33330,alugado
15,-24.84283,-54.33330,livre
16,-24.84295,-54.33330,livre
17,-24.84307,-54.33330,livre
18,-24.84319,-54.33330,alugado
19,-24.84331,-54.33330,livre
20,-24.84343,-54.33330,livre
21,-24.84235,-54.33315,livre
22,-24.84247,-54.33315,livre
23,-24.84259,-54.33315,alugado
24,-24.84271,-54.33315,livre
25,-24.84283,-54.33315,livre
26,-24.84295,-54.33315,livre
27,-24.84307,-54.33315,livre
28,-24.84319,-54.33315,livre
29,-24.84331,-54.33315,livre
30,-24.84343,-54.33315,livre
